"","group","id","grubsize","lowerlim","upperlim","value"
"1",0,1,1.59,2,4,3
"2",0,1,1.27,2,4,3
"3",0,1,1.46,2,4,3
"4",0,1,1.09,4,6,5
"5",0,1,1.52,6,8,7
"6",0,1,1.09,6,8,7
"7",0,1,0.62,12,NA,12
"8",0,2,0.62,2,4,3
"9",0,2,1.11,2,4,3
"10",0,2,1.42,4,6,5
"11",0,2,1.34,4,6,5
"12",0,2,0.98,8,10,9
"13",0,2,0.63,8,10,9
"14",0,2,1.13,12,NA,12
"15",0,3,1.04,0,2,1
"16",0,3,1.15,2,4,3
"17",0,3,1.88,2,4,3
"18",0,3,1.26,2,4,3
"19",0,3,1.19,2,4,3
"20",0,3,0.62,4,6,5
"21",0,3,0.95,4,6,5
"22",0,4,1.12,0,2,1
"23",0,4,1.08,0,2,1
"24",0,4,1.36,0,2,1
"25",0,4,1.13,0,2,1
"26",0,4,1.36,0,2,1
"27",0,4,0.62,0,2,1
"28",0,4,1.05,0,2,1
"29",0,5,0.62,2,4,3
"30",0,5,0.97,4,6,5
"31",0,5,1.36,4,6,5
"32",0,5,0.83,4,6,5
"33",0,5,0.78,6,8,7
"34",0,5,0.65,12,NA,12
"35",0,5,1.07,12,NA,12
"36",0,6,1.18,4,6,5
"37",0,6,0.73,4,6,5
"38",0,6,1.01,4,6,5
"39",0,6,0.84,4,6,5
"40",0,6,0.97,4,6,5
"41",0,6,0.88,8,10,9
"42",0,6,1.36,12,NA,12
"43",0,7,0.8,2,4,3
"44",0,7,0.92,2,4,3
"45",0,7,0.9,2,4,3
"46",0,7,1.43,2,4,3
"47",0,7,1.89,2,4,3
"48",0,7,1.04,2,4,3
"49",0,7,1.02,4,6,5
"50",0,8,1.41,0,2,1
"51",0,8,1.01,0,2,1
"52",0,8,0.8,2,4,3
"53",0,8,0.62,2,4,3
"54",0,8,1.24,4,6,5
"55",0,8,0.75,6,8,7
"56",0,8,0.92,8,10,9
"57",0,9,1.23,0,2,1
"58",0,9,1.19,2,4,3
"59",0,9,0.91,2,4,3
"60",0,9,0.99,4,6,5
"61",0,9,0.75,10,12,11
"62",0,9,1.06,10,12,11
"63",0,9,0.76,12,NA,12
"64",0,10,0.62,0,2,1
"65",0,10,0.99,2,4,3
"66",0,10,0.87,4,6,5
"67",0,10,0.62,4,6,5
"68",0,10,0.76,4,6,5
"69",0,10,1.32,6,8,7
"70",0,10,1.19,12,NA,12
"71",1,11,0.83,2,4,3
"72",1,11,1.11,2,4,3
"73",1,11,0.64,2,4,3
"74",1,11,0.93,2,4,3
"75",1,11,1.26,4,6,5
"76",1,11,0.87,4,6,5
"77",1,11,0.96,6,8,7
"78",1,12,1.07,0,2,1
"79",1,12,1.52,0,2,1
"80",1,12,0.91,0,2,1
"81",1,12,1.08,0,2,1
"82",1,12,0.62,2,4,3
"83",1,12,1.09,2,4,3
"84",1,12,1.13,4,6,5
"85",1,13,1.05,2,4,3
"86",1,13,1.43,2,4,3
"87",1,13,1.06,2,4,3
"88",1,13,0.62,2,4,3
"89",1,13,0.83,2,4,3
"90",1,13,0.91,4,6,5
"91",1,13,1.08,12,NA,12
"92",1,14,0.66,0,2,1
"93",1,14,0.69,0,2,1
"94",1,14,1.33,2,4,3
"95",1,14,0.62,2,4,3
"96",1,14,1.61,2,4,3
"97",1,14,1.14,2,4,3
"98",1,14,0.98,8,10,9
"99",1,15,0.88,0,2,1
"100",1,15,0.62,2,4,3
"101",1,15,0.88,2,4,3
"102",1,15,0.9,2,4,3
"103",1,15,1.12,2,4,3
"104",1,15,0.62,2,4,3
"105",1,15,0.77,12,NA,12
"106",1,16,0.85,0,2,1
"107",1,16,0.79,0,2,1
"108",1,16,1.05,2,4,3
"109",1,16,1,2,4,3
"110",1,16,0.95,2,4,3
"111",1,16,0.82,2,4,3
"112",1,16,1.11,4,6,5
"113",1,17,1.17,0,2,1
"114",1,17,0.94,0,2,1
"115",1,17,0.9,0,2,1
"116",1,17,1,2,4,3
"117",1,17,0.76,2,4,3
"118",1,17,0.62,2,4,3
"119",1,17,1.3,2,4,3
"120",1,18,0.76,2,4,3
"121",1,18,1.47,2,4,3
"122",1,18,1.01,2,4,3
"123",1,18,1.31,2,4,3
"124",1,18,0.63,4,6,5
"125",1,18,0.62,4,6,5
"126",1,18,1.16,12,NA,12
"127",1,19,0.87,2,4,3
"128",1,19,0.95,2,4,3
"129",1,19,0.62,2,4,3
"130",1,19,0.97,2,4,3
"131",1,19,0.9,2,4,3
"132",1,19,1.19,4,6,5
"133",1,19,0.62,6,8,7
"134",1,20,1.28,0,2,1
"135",1,20,1.12,2,4,3
"136",1,20,0.81,2,4,3
"137",1,20,0.95,2,4,3
"138",1,20,1.39,2,4,3
"139",1,20,1.34,2,4,3
"140",1,20,0.94,4,6,5
