GROUP,UREPID,GRUBSIZE,LOWERLIM,UPPERLIM
1,1,1.59,2,4
1,1,1.27,2,4
1,1,1.46,2,4
1,1,1.09,4,6
1,1,1.52,6,8
1,1,1.09,6,8
1,1,0.62,12,
1,2,0.62,2,4
1,2,1.11,2,4
1,2,1.42,4,6
1,2,1.34,4,6
1,2,0.98,8,10
1,2,0.63,8,10
1,2,1.13,12,
1,3,1.04,0,2
1,3,1.15,2,4
1,3,1.88,2,4
1,3,1.26,2,4
1,3,1.19,2,4
1,3,0.62,4,6
1,3,0.95,4,6
1,4,1.12,0,2
1,4,1.08,0,2
1,4,1.36,0,2
1,4,1.13,0,2
1,4,1.36,0,2
1,4,0.62,0,2
1,4,1.05,0,2
1,5,0.62,2,4
1,5,0.97,4,6
1,5,1.36,4,6
1,5,0.83,4,6
1,5,0.78,6,8
1,5,0.65,12,
1,5,1.07,12,
1,6,1.18,4,6
1,6,0.73,4,6
1,6,1.01,4,6
1,6,0.84,4,6
1,6,0.97,4,6
1,6,0.88,8,10
1,6,1.36,12,
1,7,0.8,2,4
1,7,0.92,2,4
1,7,0.9,2,4
1,7,1.43,2,4
1,7,1.89,2,4
1,7,1.04,2,4
1,7,1.02,4,6
1,8,1.41,0,2
1,8,1.01,0,2
1,8,0.8,2,4
1,8,0.62,2,4
1,8,1.24,4,6
1,8,0.75,6,8
1,8,0.92,8,10
1,9,1.23,0,2
1,9,1.19,2,4
1,9,0.91,2,4
1,9,0.99,4,6
1,9,0.75,10,12
1,9,1.06,10,12
1,9,0.76,12,
1,10,0.62,0,2
1,10,0.99,2,4
1,10,0.87,4,6
1,10,0.62,4,6
1,10,0.76,4,6
1,10,1.32,6,8
1,10,1.19,12,
2,11,0.83,2,4
2,11,1.11,2,4
2,11,0.64,2,4
2,11,0.93,2,4
2,11,1.26,4,6
2,11,0.87,4,6
2,11,0.96,6,8
2,12,1.07,0,2
2,12,1.52,0,2
2,12,0.91,0,2
2,12,1.08,0,2
2,12,0.62,2,4
2,12,1.09,2,4
2,12,1.13,4,6
2,13,1.05,2,4
2,13,1.43,2,4
2,13,1.06,2,4
2,13,0.62,2,4
2,13,0.83,2,4
2,13,0.91,4,6
2,13,1.08,12,
2,14,0.66,0,2
2,14,0.69,0,2
2,14,1.33,2,4
2,14,0.62,2,4
2,14,1.61,2,4
2,14,1.14,2,4
2,14,0.98,8,10
2,15,0.88,0,2
2,15,0.62,2,4
2,15,0.88,2,4
2,15,0.9,2,4
2,15,1.12,2,4
2,15,0.62,2,4
2,15,0.77,12,
2,16,0.85,0,2
2,16,0.79,0,2
2,16,1.05,2,4
2,16,1,2,4
2,16,0.95,2,4
2,16,0.82,2,4
2,16,1.11,4,6
2,17,1.17,0,2
2,17,0.94,0,2
2,17,0.9,0,2
2,17,1,2,4
2,17,0.76,2,4
2,17,0.62,2,4
2,17,1.3,2,4
2,18,0.76,2,4
2,18,1.47,2,4
2,18,1.01,2,4
2,18,1.31,2,4
2,18,0.63,4,6
2,18,0.62,4,6
2,18,1.16,12,
2,19,0.87,2,4
2,19,0.95,2,4
2,19,0.62,2,4
2,19,0.97,2,4
2,19,0.9,2,4
2,19,1.19,4,6
2,19,0.62,6,8
2,20,1.28,0,2
2,20,1.12,2,4
2,20,0.81,2,4
2,20,0.95,2,4
2,20,1.39,2,4
2,20,1.34,2,4
2,20,0.94,4,6
